"value","freq"
0,893
1,10
2,7
3,4
4,9
5,14
6,9
7,18
8,9
9,11
10,13
11,12
12,15
13,8
14,16
15,9
16,6
17,7
18,11
19,16
20,12
21,7
22,11
23,11
24,17
25,11
26,10
27,14
28,33
29,26
30,15
31,15
32,9
33,12
34,14
35,22
36,13
37,18
38,12
39,14
40,6
41,9
42,6
43,10
44,17
45,24
46,5
47,12
48,14
49,110
50,15
51,8
52,7
53,10
54,17
55,11
56,9
57,14
58,53
59,89
60,46
61,11
62,6
63,10
64,26
65,27
66,42
67,70
68,182
69,40
70,1
77,1
83,1
88,1
126,1
128,1
133,1
135,1
140,1
143,3
144,1
145,1
146,3
147,2
148,6
149,3
150,2
152,1
154,2
157,1
167,1
168,1
171,1
173,2
174,1
175,1
177,2
178,5
179,3
180,1
181,2
183,3
184,2
185,2
186,1
187,3
188,5
189,7
190,1
204,1
210,1
272,1
276,1
277,1
281,1
282,1
283,1
289,1
294,1
296,1
298,1
322,1
325,2
326,3
327,3
328,2
329,6
330,1
331,2
332,5
333,5
334,9
335,13
336,12
337,18
338,25
339,35
340,36
341,37
342,33
343,39
344,26
345,34
346,43
347,25
348,23
349,18
350,10
351,7
352,3
353,2
354,1
362,1
